feature,beta_judge,se_judge,p_judge,beta_fan,se_fan,p_fan,diff,judge_sig,fan_sig
pro_experience_seasons,0.1996637377338247,0.10262915910047575,0.051716342600552925,0.07049514244331523,0.028318002754766005,0.012795501553346125,0.12916859529050947,,*
pro_win_rate,0.021966591334225197,0.0960351969653515,0.8190750471586652,0.01482790897211116,0.017882558847228017,0.4070010155533985,0.007138682362114037,,
pro_avg_placement,-0.058756860464452054,0.05714393610556413,0.3038436985966415,0.005866049828487943,0.015313361736591622,0.7016697825255125,-0.06462291029294,,
pro_current_form,5.020574157700718,0.22467426686332723,1.3201862540072873e-110,0.11768631477198822,0.02314353708707141,3.6750651809171843e-07,4.90288784292873,***,***
pro_celebrity_chemistry,0.07370950366016332,0.05443258338035361,0.1756907487387983,-0.026462647373348455,0.009985619614557005,0.008047374985096655,0.10017215103351178,,**
pro_concurrent_strength,0.1392187997764272,0.16216105858720412,0.39060441220711795,-0.2959735203493237,0.029765662088888905,2.693207152325436e-23,0.43519232012575093,,***
age_z,-0.014040628370705355,0.15133594068922443,0.9260800211188941,0.0005673466165000279,0.04322269864035966,0.9895271669403145,-0.014607974987205383,,
age_sq,-0.06484674994093054,0.04202164975081915,0.12278837566280519,-0.01611778470174504,0.01087318710017374,0.13824924999316218,-0.0487289652391855,,
industry_physicality,0.16238722990513932,0.09428858407113505,0.08502670673849339,0.0053505020620418405,0.01941111069549052,0.7828236534537232,0.15703672784309747,,
celebrity_visibility,0.2952379049211823,0.13112902797955026,0.024353453434924944,-0.023863656711965494,0.01423540801875695,0.09366786222486002,0.3191015616331478,*,
is_us_based,0.06459298269066974,0.0958004634168778,0.5001555696770054,-0.001141047901526103,0.026767892265830165,0.9659984862671797,0.06573403059219585,,
pre_show_popularity,0.1223382921270857,0.049946609364938756,0.014310185909824975,-0.0929433268863401,0.01043364597364847,5.194305335857054e-19,0.2152816190134258,*,***
interact_exp_physicality,-0.2573156602278218,0.11836542843589107,0.029711976320132893,-0.021521472052030814,0.02855749700551552,0.45107803809595237,-0.235794188175791,*,
interact_winrate_visibility,-0.19104246736461422,0.11906519513861112,0.10859951571839785,-0.032178387748227656,0.017045500356003284,0.059053654734238674,-0.15886407961638657,,
interact_week_age,2.233277074629014,0.021134637991207315,0.0,-0.22258683243873062,0.005806822818064504,0.0,2.4558639070677444,***,***
